X,Y,OBJECTID,CT_NO,MAP_LABEL_NAME,CITY,ZIPCODE,POSTMILE_P,POSTMILE,POSTMILE_S,LATITUDE,LONGITUDE,DISTRICT,CO_CODE,COUNTY,ROUTE,REST_AREA_NAME,LANDMARK_LOCATION,TRAFFIC_DIRECTION,RESTROOM,WATER,PICNICTAB,PHONE,HANDICAP,RV_STATION,VENDING,PET_AREA
-13569442.5661,4992332.5525,11,90200088,Hillcrest Safety Roadside Rest Area - Eb & Wb,Montgomery Creek,96055, ,60.6, ,40.8642,-121.896363,2,SHA,Shasta,299,Hillcrest,3.9 mi. E. of Montgomery Creek,E & W,Yes,Yes,Yes,No,Yes,No,No,Yes
-13410122.1874,4903251.9436,12,90200091,Honey Lake Safety Roadside Rest Area - Nb & Sb,Janesville,96114, ,49.6, ,40.256258,-120.465164,2,LAS,Lassen,395,Honey Lake,7.7 mi. N. of Milford,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13404360.7284,4840344.119,13,90200104,L.T. Davis Safety Roadside Rest Area - Eb & Wb,Loyalton,96114, ,79.2, ,39.823614,-120.413408,2,PLU,Plumas,70,L.T.Davis,3 mi. E. of Portola,E & W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13487752.0719,4910019.8209,14,90200106,Lake Almanor Safety Roadside Rest Area - Eb & Wb,Chester, , ,12.8, ,40.30264,-121.162525,2,PLU,Plumas,36,Lake Almanor,4.3 mi. E. of Chester,E & W,Yes,Yes,Yes,No,Yes,No,No,Yes
-13625267.4078,5000174.8206,15,90200107,Lakehead Safety Roadside Rest Area - Sb,Shasta Lake,96001, ,43.2, ,40.917456,-122.397846,2,SHA,Shasta,5,Lakehead,0.9 mi. N. of Lakehead O.C.,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13451181.4925,4854802.877,16,90200116,Massack Safety Roadside Rest Area - Eb & Wb,Quincy,95971, ,49.8, ,39.923296,-120.834006,2,PLU,Plumas,70,Massack,6.5 mi. E. of Quincy,E & W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13686015.572,4963256.9461,17,90200122,Moon Lim Lee Safety Roadside Rest Area - Eb & W B,Weaverville,96093, ,56.8, ,40.666377,-122.943556,2,TRI,Trinity,299,Moon Lim Lee,5 mi. E. of Weaverville,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13644673.197,5138892.4546,18,90200144,Randolph E. Collier Safety Roadside Rest Area - Nb & Sb,Hornbrook,96044, ,58.4, ,41.852376,-122.572171,2,SIS,Siskiyou,5,Randolph E. Collier,2.5 mi. N. of Rte. 96,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13387364.4784,4960375.3416,19,90200154,Secret Valley Safety Roadside Rest Area - Nb & Sb,Ravendale, , ,96.5, ,40.646739,-120.260728,2,LAS,Lassen,395,Secret Valley,12 mi. S. of Ravendale,N & S,Yes,Yes,Yes,No,Yes,No,No,Yes
-13562340.821,4939768.9899,20,90200160,Shingletown Safety Roadside Rest Area - Eb & Wb,Shingletown, , ,34.9, ,40.506141,-121.832567,2,SHA,Shasta,44,Shingletown,3.1 mi. E. of Shingletown,E & W,Yes,Yes,Yes,No,Yes,No,No,Yes
-13631603.3896,5083027.1994,21,90200199,Weed Airport Safety Roadside Rest Area - Nb,Weed,96094, ,25.8, ,41.477476,-122.454763,2,SIS,Siskiyou,5,Weed Airport,6 mi. N. of Weed,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13396170.3882,4770614.4338,22,90300040,Donner Summit Safety Roadside Rest Area - Eb,Soda Springs,95728, ,5.52, ,39.34085,-120.339833,3,NEV,Nevada,80,Donner Summit,On Donner Pass,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13396221.1501,4770889.6457,23,90300041,Donner Summit Safety Roadside Rest Area - Wb,Soda Springs,95728, ,5.84, ,39.342762,-120.340289,3,NEV,Nevada,80,Donner Summit,On Donner Pass,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13578435.4826,4706214.868,24,90300046,Dunnigan Safety Roadside Rest Area - Nb,Dunnigan,95937, ,26.17, ,38.892006,-121.977148,3,YOL,Yolo,5,Dunnigan,0.5 mi. N. of Dunnigan,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13578712.5567,4706240.7552,25,90300047,Dunnigan Safety Roadside Rest Area - Sb,Dunnigan,95937, ,26.55, ,38.892187,-121.979637,3,YOL,Yolo,5,Dunnigan,0.5 mi. N. of Dunnigan,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13537801.0761,4674769.4756,26,90300057,"Elkhorn Safety Roadside Rest Area - Sb
Aka: Vietnam Memorial",Sacramento,95815, ,33.8, ,38.671804,-121.612123,3,SAC,Sacramento,5,Elkhorn,6.1 miles south of Woodland,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13452983.8557,4747557.5988,27,90300065,Gold Run Safety Roadside Rest Area - Eb,Dutch Flat,95714, ,41.7, ,39.18048,-120.850197,3,PLA,Placer,80,Gold Run,Between Sawmill and Gold Run O.C.,E,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13453514.2931,4747382.1108,28,90300066,Gold Run Safety Roadside Rest Area - Wb,Dutch Flat,95714, ,41.8, ,39.179258,-120.854962,3,PLA,Placer,80,Gold Run,Between Sawmill and Gold Run O.C.,W,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13601042.3644,4756220.3172,29,90300087,Maxwell Safety Roadside Rest Area - Nb,Maxwell,95955, ,24.1, ,39.240776,-122.180229,3,COL,Colusa,5,Maxwell,2 mi. S. of Maxwell,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13601419.9603,4756351.9764,30,90300088,Maxwell Safety Roadside Rest Area - Sb,Maxwell,95955, ,24.5, ,39.241692,-122.183621,3,COL,Colusa,5,Maxwell,2 mi. S. of Maxwell,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13604174.5666,4806871.2501,31,90300155,Willows Safety Roadside Rest Area - Nb,Willows,95988, ,14.4, ,39.592289,-122.208366,3,GLE,Glenn,5,Willows,2 mi. S. of Artois,N,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
